unified_rank,player,team,position,sleeper_rank,sources_count,unified_score,sleeper_pts,sleeper_floor,sleeper_pp90
125,Mohammed Kudus,TOT,MID,125,1,0.2962085308056872,190.91,154.98,9.55
126,Bernd Leno,FUL,GK,126,1,0.2985781990521327,189.24,132.18,4.98
127,Bobby Thomas,COV,DEF,127,1,0.3009478672985782,188.75,157.13,6.53
128,Lewis Hall,NEW,DEF,128,1,0.3033175355450237,188.61,140.65,6.79
129,Matt Grimes,COV,MID,129,1,0.3056872037914692,187.99,180.05,6.27
130,Gustavo Hamer,COV,MID,130,1,0.3080568720379147,187.9,149.5,8.05
131,Beto,EVE,FWD,131,1,0.3104265402843602,187.62,123.78,10.55
132,Jaydee Canvot,CRY,DEF,132,1,0.3127962085308057,186.19,152.94,6.98
133,Sven Botman,NEW,DEF,133,1,0.31516587677725116,185.91,141.93,7.61
134,Ola Aina,NFO,DEF,134,1,0.3175355450236967,185.69,135.87,6.43
135,Adam Wharton,CRY,MID,135,1,0.31990521327014215,185.11,176.24,6.94
136,Dan Ndoye,NFO,FWD,136,1,0.3222748815165877,184.87,137.07,9.24
137,Alejandro Garnacho,AVL,MID,137,1,0.3246445497630332,184.85,143.83,9.24
138,Jacob Ramsey,NEW,MID,138,1,0.32701421800947866,184.68,160.49,7.55
139,Yasin Ayari,BHA,MID,139,1,0.3293838862559242,183.58,158.5,6.88
140,Justin Kluivert,BOU,MID,140,1,0.33175355450236965,182.64,139.61,9.13
141,Senne Lammens,MUN,GK,141,1,0.3341232227488152,182.3,115.0,4.8
142,Reece James,CHE,DEF,142,1,0.33649289099526064,181.26,120.25,8.16
143,Matty Cash,AVL,DEF,143,1,0.33886255924170616,180.87,121.41,5.81
144,Brian Brobbey,SUN,FWD,144,1,0.3412322274881517,179.88,114.94,6.23
145,Nick Woltemade,NEW,FWD,145,1,0.34360189573459715,179.08,99.02,8.95
146,Jack Clarke,IPS,MID,146,1,0.3459715639810427,178.7,131.21,8.94
147,Richarlison,TOT,FWD,147,1,0.34834123222748814,178.34,94.0,11.46
148,Mathias Jensen,BRE,MID,148,1,0.35071090047393366,178.29,154.23,7.29
149,Boubacar Kamara,AVL,MID,149,1,0.35308056872037913,177.77,168.25,6.4
150,Sandro Tonali,TOT,MID,150,1,0.35545023696682465,177.62,169.13,6.15
151,Nilson Angulo,SUN,MID,151,1,0.3578199052132701,177.15,151.15,7.97
152,Maxence Lacroix,CHE,DEF,152,1,0.36018957345971564,176.7,138.2,7.23
153,Yeremy Pino,CRY,MID,153,1,0.36255924170616116,176.35,143.07,7.94
154,Maxim De Cuyper,BHA,DEF,154,1,0.36492890995260663,175.24,110.48,7.89
155,Joe Rodon,LEE,DEF,155,1,0.36729857819905215,175.08,138.73,5.25
156,Noah Okafor,LEE,FWD,156,1,0.3696682464454976,174.43,134.93,9.23
157,Ruben Dias,MCI,DEF,157,1,0.37203791469194314,174.36,107.04,6.54
158,Evanilson,BOU,FWD,158,1,0.3744075829383886,173.88,117.36,7.45
159,Hayden Hackney,EVE,MID,159,1,0.3767772511848341,172.32,152.17,7.75
160,Viktor Gyokeres,ARS,FWD,160,1,0.3791469194312796,171.98,85.1,9.11
161,Victor Munoz,LIV,FWD,161,1,0.3815165876777251,169.77,127.63,10.91
162,Kristoffer Ajer,BRE,DEF,162,1,0.38388625592417064,169.29,134.54,6.35
163,Haji Wright,COV,FWD,163,1,0.3862559241706161,168.72,101.48,7.59
164,Cristhian Mosquera,ARS,DEF,164,1,0.3886255924170616,168.33,116.06,7.57
165,Joao Gomes,AVL,MID,165,1,0.3909952606635071,167.68,166.23,6.29
166,Kevin,FUL,FWD,166,1,0.3933649289099526,167.57,144.46,10.05
167,Antonio Silva,BOU,DEF,167,1,0.3957345971563981,167.51,128.57,6.28
168,Emile Smith Rowe,FUL,MID,168,1,0.3981042654028436,167.48,122.77,7.18
169,Kjell Scherpen,IPS,GK,169,1,0.4004739336492891,167.09,149.81,4.4
170,Joe Gelhardt,HUL,FWD,170,1,0.4028436018957346,165.92,133.33,7.47
171,Jeremie Frimpong,LIV,DEF,171,1,0.4052132701421801,164.42,108.93,7.4
172,Johan Manzambi,AVL,MID,172,1,0.4075829383886256,163.9,120.16,8.19
173,Joelinton,NEW,MID,173,1,0.4099526066350711,163.06,153.98,7.34
174,Mateus Fernandes,TOT,MID,174,1,0.41232227488151657,162.97,143.31,7.33
175,Dejan Kulusevski,TOT,MID,175,1,0.4146919431279621,162.47,121.14,10.44
176,Eberechi Eze,ARS,MID,176,1,0.41706161137440756,162.05,100.54,9.72
177,James Justin,LEE,DEF,177,1,0.4194312796208531,161.85,129.7,6.07
178,Lisandro Martinez,MUN,DEF,178,1,0.4218009478672986,161.69,123.14,5.2
179,Patrick Dorgu,MUN,DEF,179,1,0.42417061611374407,161.26,114.1,10.37
180,Juanlu,BOU,DEF,180,1,0.4265402843601896,161.04,126.26,5.57
181,Trai Hume,SUN,DEF,181,1,0.42890995260663506,160.94,121.82,5.57
182,Estevao,CHE,FWD,182,1,0.4312796208530806,160.43,130.42,10.31
183,Jacob Murphy,NEW,MID,183,1,0.43364928909952605,159.71,114.02,10.27
184,Milan van Ewijk,COV,DEF,184,1,0.43601895734597157,158.42,118.23,5.09
185,Joachim Andersen,FUL,DEF,185,1,0.43838862559241704,157.28,136.16,5.44
186,Sepp van den Berg,BRE,DEF,186,1,0.44075829383886256,156.25,124.42,7.03
187,Tyler Adams,BOU,MID,187,1,0.4431279620853081,154.91,153.54,6.97
188,Mathys Tel,TOT,FWD,188,1,0.44549763033175355,154.72,119.77,9.95
189,Julio Enciso,IPS,,189,1,0.44786729857819907,154.59,120.69,6.96
190,Ibrahim Sangare,NFO,MID,190,1,0.45023696682464454,152.84,149.85,6.88
191,Tarik Muharemovic,LEE,DEF,191,1,0.45260663507109006,152.62,125.12,5.72
192,Caleb Yirenkyi,COV,MID,192,1,0.4549763033175355,152.57,150.71,6.54
193,Ben White,ARS,DEF,193,1,0.45734597156398105,151.98,90.44,9.77
194,Daichi Kamada,CRY,MID,194,1,0.4597156398104265,151.68,164.14,5.46
195,Piero Hincapie,ARS,DEF,195,1,0.46208530805687204,150.72,95.12,9.69
196,Jack Rudoni,COV,MID,196,1,0.46445497630331756,149.71,105.43,8.42
197,Tatsuhiro Sakamoto,COV,MID,197,1,0.466824644549763,149.37,121.14,7.47
198,Shea Charles,FUL,DEF,198,1,0.46919431279620855,149.31,106.22,7.47
199,Josh King,FUL,MID,199,1,0.471563981042654,147.28,125.29,7.36
200,Dara O'Shea,IPS,DEF,200,1,0.47393364928909953,147.12,127.39,4.73
201,Oscar Bobb,FUL,MID,201,1,0.476303317535545,147.07,131.97,8.27
202,Kenny Tete,FUL,DEF,202,1,0.4786729857819905,146.7,114.46,6.6
203,Gabriel Gudmundsson,LEE,DEF,203,1,0.48104265402843605,146.69,126.56,5.08
204,Omari Hutchinson,NFO,FWD,204,1,0.4834123222748815,146.33,116.77,10.97
205,Yehor Yarmolyuk,BRE,MID,205,1,0.48578199052132703,146.01,150.77,5.48
206,Kobbie Mainoo,MUN,MID,206,1,0.4881516587677725,145.76,131.53,7.29
207,Habib Diarra,SUN,MID,207,1,0.490521327014218,145.74,116.77,5.47
208,Liam Millar,HUL,MID,208,1,0.4928909952606635,145.2,128.76,7.26
209,Conor Bradley,LIV,DEF,209,1,0.495260663507109,144.95,103.0,8.15
210,James McAtee,NFO,MID,210,1,0.4976303317535545,144.71,107.22,9.3
211,Aurele Amenda,COV,DEF,211,1,0.5,144.6,131.94,5.42
212,Valentino Livramento,NEW,DEF,212,1,0.5023696682464455,144.21,100.68,5.41
213,Marco Palestra,CHE,DEF,213,1,0.504739336492891,143.87,94.99,7.19
214,Mats Wieffer,BHA,DEF,214,1,0.5071090047393365,143.59,112.72,8.08
215,Luka Vuskovic,BHA,DEF,215,1,0.509478672985782,143.58,109.91,7.18
216,Ephron Mason-Clark,COV,MID,216,1,0.5118483412322274,142.98,109.98,8.58
217,Leif Davis,IPS,DEF,217,1,0.514218009478673,142.59,114.77,4.28
218,Rio Ngumoha,LIV,FWD,218,1,0.5165876777251185,142.36,106.08,16.02
219,Omar Marmoush,MCI,FWD,219,1,0.518957345971564,142.16,76.0,12.79
220,Jayden Bogle,LEE,DEF,220,1,0.5213270142180095,141.85,101.73,4.56
221,Jaka Bijol,LEE,DEF,221,1,0.523696682464455,140.35,113.8,6.32
222,Jeremy Jacquet,LIV,DEF,222,1,0.5260663507109005,140.13,96.91,7.01
223,Jaidon Anthony,BRE,MID,223,1,0.5284360189573459,139.82,103.53,8.39
224,Konstantinos Tzolakis,HUL,GK,224,1,0.5308056872037915,139.05,127.47,3.66
225,Cesar Palacios,FUL,MID,225,1,0.533175355450237,138.37,98.07,7.33
226,Brenden Aaronson,LEE,MID,226,1,0.5355450236966824,138.23,111.48,7.32
227,Pascal Struijk,BHA,DEF,227,1,0.5379146919431279,137.66,111.16,6.19
228,Levi Colwill,CHE,DEF,228,1,0.5402843601895735,137.3,103.06,6.18
229,Luke Shaw,MUN,DEF,229,1,0.542654028436019,137.29,118.84,5.15
230,Bazoumana Toure,NEW,FWD,230,1,0.5450236966824644,137.17,105.56,10.29
231,Ao Tanaka,LEE,MID,231,1,0.54739336492891,137.09,123.57,6.85
232,Rodrigo Muniz,FUL,FWD,232,1,0.5497630331753555,135.99,90.23,10.2
233,Dan Burn,NEW,DEF,233,1,0.5521327014218009,135.84,106.96,6.79
234,Takehiro Tomiyasu,CRY,DEF,234,1,0.5545023696682464,135.73,88.79,7.63
235,Anan Khalaili,CRY,DEF,235,1,0.556872037914692,135.03,89.94,8.68
236,William Saliba,ARS,DEF,236,1,0.5592417061611374,135.02,81.29,7.59
237,Sander Berge,FUL,MID,237,1,0.5616113744075829,134.19,140.62,5.03
238,Calvin Bassey,FUL,DEF,238,1,0.5639810426540285,134.02,102.06,4.31
239,Noah Sadiki,SUN,MID,239,1,0.566350710900474,133.97,147.37,4.31
240,Ryan Sessegnon,FUL,DEF,240,1,0.5687203791469194,131.9,89.15,8.48
241,Anthony Elanga,NEW,FWD,241,1,0.5710900473933649,131.38,111.97,6.57
242,Emersonn,IPS,FWD,242,1,0.5734597156398105,131.22,97.39,6.56
243,Liam Kitching,COV,DEF,243,1,0.5758293838862559,130.83,114.0,5.89
244,Micky van de Ven,TOT,DEF,244,1,0.5781990521327014,130.41,87.73,5.1
245,Ousmane Diomande,NFO,DEF,245,1,0.580568720379147,130.08,98.92,5.57
