rank,player,team,position,pos_rank,pts,floor,pp90
351,Lewie Coyle,HUL,DEF,124,54.57,53.08,2.73
352,Darnell Furlong,IPS,DEF,125,54.4,45.98,2.72
353,Nobel Mendy,HUL,DEF,126,54.12,54.52,2.71
354,Ryan Yates,NFO,MID,136,53.98,47.6,8.1
355,Kieran Dowell,HUL,MID,137,53.49,51.78,6.02
356,Sindre Egeli,IPS,MID,138,53.15,40.21,5.98
357,Semi Ajayi,HUL,DEF,127,51.81,45.19,3.89
358,Romeo Lavia,CHE,MID,139,51.59,50.44,5.8
359,Ilia Gruev,LEE,MID,140,50.57,46.89,5.69
360,Pape Sarr,TOT,MID,141,50.35,42.77,7.55
361,Tammy Abraham,AVL,FWD,73,49.82,25.84,11.21
362,Matt Targett,HUL,DEF,128,48.47,37.56,3.64
363,Taiwo Awoniyi,NFO,FWD,74,48.03,25.49,10.81
364,Gabriel Martinelli,ARS,MID,142,47.81,34.09,10.76
365,Will Hughes,CRY,MID,143,47.67,52.47,5.36
366,Giovanni Leoni,LIV,DEF,129,46.71,32.3,7.01
367,Ben Gannon Doak,BOU,MID,144,45.52,36.06,10.24
368,Jamie Gittens,CHE,FWD,75,45.26,34.76,10.18
369,Oscar Zambrano,HUL,MID,145,44.59,47.2,5.02
370,Martin Zubimendi,ARS,MID,146,44.56,38.94,6.68
371,Savinho,MCI,MID,147,43.69,37.73,9.83
372,Geovany Quenda,CHE,MID,148,43.46,33.24,9.78
373,Kevin Danso,TOT,DEF,130,43.45,37.02,6.52
374,Jonah Kusi-Asare,FUL,FWD,76,43.29,28.09,9.74
375,Joshua Zirkzee,MUN,FWD,77,42.91,29.78,9.66
376,Archie Gray,TOT,MID,149,42.45,39.05,4.78
377,Jocelin Ta Bi,SUN,MID,150,42.42,31.3,6.36
378,Emmanuel Emegha,CHE,FWD,78,41.17,24.72,9.26
379,Josh Eccles,COV,MID,151,40.82,33.9,7.35
380,Aaron Hickey,BRE,DEF,131,40.06,25.24,3.0
381,Sean Longstaff,LEE,MID,152,39.94,34.67,8.99
382,Luke O'Nien,SUN,DEF,132,38.9,33.03,4.38
383,Xavi Simons,TOT,MID,153,38.03,31.78,8.56
384,Adam Smith,BOU,DEF,133,37.2,28.16,4.18
385,Lucas Bergvall,TOT,MID,154,35.78,28.25,8.05
386,Harrison Reed,FUL,MID,155,35.09,32.07,7.89
387,Cedric Kipre,IPS,DEF,134,34.98,28.59,3.93
388,Wilson Odobert,TOT,FWD,79,34.47,28.18,7.76
389,Josh Dasilva,BRE,MID,156,34.39,24.44,7.74
390,Antoni Milambo,BRE,MID,157,34.34,29.02,7.73
391,Joe Willock,NEW,MID,158,34.05,30.94,7.66
392,Kaine Kesler-Hayden,COV,DEF,135,33.3,22.58,7.49
393,Stefan Bajcetic,LIV,MID,159,33.29,29.13,7.49
394,Joe Gomez,LIV,DEF,136,33.28,23.8,7.49
395,Alex Toth,BOU,MID,160,32.61,36.05,7.34
396,Justin Devenny,CRY,MID,161,32.5,25.49,7.31
